benchmark_name,ref_nof_adders,ref_adder_depth,ref_solved,ref_solve_s,nof_adders,adder_depth,solved,solve_s,comparison
SHI11_S1_B,5,1,true,0.001,5,1,true,0.016,ClosedFinality EqualObjectivity
SHI11_S2,18,3,false,1800.014,17,3,true,26.257,NewlyClosedFinality BetterObjectivity
SHI11_X1,5,2,true,0.077,5,2,true,0.710,ClosedFinality EqualObjectivity
SHI11_Y1,6,4,true,1.846,7,3,true,26.851,ClosedFinality ShallowerObjectivity
SHI11_Y2,10,4,false,1800.002,11,3,true,69.968,NewlyClosedFinality ShallowerObjectivity
UNSHARP_3-1,4,2,true,0.016,4,2,true,0.110,ClosedFinality EqualObjectivity
UNSHARP_3-2,5,3,true,26.557,5,3,true,554.738,ClosedFinality EqualObjectivity
VINOD03_15,6,3,true,338.596,6,3,false,600.656,NotClosedFinality EqualObjectivity
VINOD03_26A,7,2,true,0.019,7,2,true,0.045,ClosedFinality EqualObjectivity
VINOD03_26B,20,3,false,1800.003,,,,,OpenFinality MissingObjectivity
XU07_15,5,3,true,10.114,6,3,false,602.218,NotClosedFinality WorseObjectivity
XU07_28,8,3,true,2.086,8,3,true,9.130,ClosedFinality EqualObjectivity
YEUNG04_40,28,3,false,1800.043,,,,,OpenFinality MissingObjectivity
YLI01_30,8,2,false,1800.001,8,2,true,0.843,NewlyClosedFinality EqualObjectivity
YOSHINO90_64,27,2,false,1800.005,25,3,true,78.203,NewlyClosedFinality BetterObjectivity
ZAHOSAM89_25,6,2,true,0.015,6,2,true,0.045,ClosedFinality EqualObjectivity
