runparam,score,compcat_tallies,BULL91_32,CHANG06_3,CHEN99_15,CHEN99_28A,CHEN99_28B,CHENYAO01_28A,CHENYAO01_28B,DEMPSTER02_25,DEMPSTER04_A3,DEMPSTER04_B3,DEMPSTER04_C3,DEMPSTER04_D3,DEMPSTER04_E3,DEMPSTER04_F3,DEMPSTER04_G4,DEMPSTER04_H4,DEMPSTER04_I5,DEMPSTER04_J5,DEMPSTER04_K5,DEMPSTER04_L5,GAUSSIAN_3,GAUSSIAN_5,GOODMAN77_A3,GOODMAN77_B3,GOODMAN77_C7,GOODMAN77_D7,GOODMAN77_E11,GOODMAN77_F11,GOODMAN77_G11,GOODMAN77_H15,GOODMAN77_I19,HIGHPASS_15,HIGHPASS_5,HIGHPASS_9,JAIN91_11,JANG02_11,JHENG04_29A,JHENG04_29B,JHENG04_30,JOHANSSON08_28,JOHANSSON08_30,JOHANSSON08_A5,JOHANSSON08_B5,KWENTUS97_11,KWENTUS97_15,KWENTUS97_47,LAPLACIAN_3,LIM83A_36,LIM83_121,LIM83_36,LIM83_37,LIM83_63,LIMAKT08_121,LIMPASKO99_121,LIMYU07_121,LOWPASS_15,LOWPASS_5,LOWPASS_9,MARTINEZ02_4,NIELSEN89_67A,NIELSEN89_67B,POTKONJAK96_4,ROSA04_49,SAMUELI89_60,SHAHEIN11_B,SHAHEIN11_S2,SHI11_A,SHI11_G1,SHI11_L2,SHI11_S1_A,SHI11_S1_B,SHI11_S2,SHI11_X1,SHI11_Y1,SHI11_Y2,UNSHARP_3-1,UNSHARP_3-2,VINOD03_15,VINOD03_26A,VINOD03_26B,XU07_15,XU07_28,YEUNG04_40,YLI01_30,YOSHINO90_64,ZAHOSAM89_25
M(ktree:L(yc:yz:yu):C(yssd:ni)):S(G(<600s:yP:yI)),000001//0000000000000000000000000000000001,U!00:O!00:N-00:C-00:U?00:O?00:U-00:O-00:U_00:U=00:U|00:C|00:O_00:C_00:O=09:O|00:C=58:N|00:N=00:N_00:O+00:N+00:O*00:N*00:C+00:U+00,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,nothing,nothing,nothing,OpenFinality EqualObjectivity,OpenFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity
M(ktree:L(yc:yz:nu):C(yssd:ni)):S(G(<600s:yP:yI)),000007//0000000000000000000000000000000088,U!00:O!00:N-00:C-00:U?01:O?00:U-00:O-01:U_01:U=03:U|00:C|02:O_00:C_01:O=06:O|00:C=50:N|00:N=01:N_00:O+01:N+00:O*01:N*00:C+00:U+00,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality NarrowerObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,nothing,nothing,OpenFinality NovelObjectivity,OpenFinality BetterObjectivity,OpenFinality WorseObjectivity,nothing,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality NarrowerObjectivity,ClosedFinality ShallowerObjectivity,NotClosedFinality EqualObjectivity,nothing,nothing,NotClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,NotClosedFinality MissingObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,NotClosedFinality ShallowerObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,NotClosedFinality EqualObjectivity,NewlyClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity
M(ktree:L(yc:yz:yu):C(yssd:ni)):S(G(<600s:nP:yI)),000001//0000000002693690979709970276840804,U!00:O!00:N-00:C-01:U?21:O?02:U-00:O-01:U_00:U=02:U|00:C|03:O_01:C_03:O=04:O|00:C=28:N|00:N=00:N_00:O+01:N+00:O*01:N*00:C+00:U+00,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality NarrowerObjectivity,ClosedFinality ShallowerObjectivity,ClosedFinality NarrowerObjectivity,ClosedFinality EqualObjectivity,ClosedFinality WorseObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality NarrowerObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,nothing,nothing,OpenFinality NovelObjectivity,OpenFinality WorseObjectivity,OpenFinality ShallowerObjectivity,nothing,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality ShallowerObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,NotClosedFinality EqualObjectivity,OpenFinality BetterObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality ShallowerObjectivity,NotClosedFinality EqualObjectivity,nothing,nothing,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,OpenFinality MissingObjectivity,NotClosedFinality MissingObjectivity,nothing,OpenFinality MissingObjectivity,NotClosedFinality MissingObjectivity,nothing,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity
M(ktree:L(yc:yz:yu):C(yssd:ni)):S(G(<600s:yP:nI)),000117//0244291631764409702459823252553214,U!00:O!00:N-00:C-00:U?30:O?03:U-00:O-00:U_00:U=01:U|00:C|00:O_00:C_00:O=04:O|00:C=26:N|00:N=00:N_00:O+02:N+00:O*02:N*00:C+01:U+00,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality BetterObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,nothing,nothing,OpenFinality NovelObjectivity,OpenFinality NovelObjectivity,OpenFinality EqualObjectivity,OpenFinality MissingObjectivity,nothing,ClosedFinality EqualObjectivity,OpenFinality BetterObjectivity,nothing,nothing,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,OpenFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,NotClosedFinality EqualObjectivity,OpenFinality BetterObjectivity,ClosedFinality EqualObjectivity,ClosedFinality EqualObjectivity,nothing,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,nothing,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,nothing,nothing,nothing,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,nothing,nothing,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,OpenFinality MissingObjectivity,NotClosedFinality MissingObjectivity,nothing,OpenFinality MissingObjectivity,NotClosedFinality MissingObjectivity,nothing,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity,NotClosedFinality MissingObjectivity
